,title,description
23811,Critters 2,"Eggs of the small but voracious alien creatures called Crites are left behind on earth and, after hatching, set their appetites on the small farm town of Grover's Bend."
23816,Curse II: The Bite,"After being bitten by a radioactive snake, a young man begins to spawn snake-like creatures with a vicious, murdeous nature."
23817,Curse of the Queerwolf,"After being bitten by what he thinks is a transvestite, Larry starts having nightmares about hillbillies, ominous visits from an old gypsy woman, and having the strangest reactions to the ..."
23825,Dance of the Damned,"A vampire follows his instincts to a strip joint where he focuses in on one of the performers. He picks her for his meal because she is contemplating suicide, but he wants to share her life..."
23835,Sbirri oltre la vita,A cop and his undead partner must chase down the diabolical villain who killed him.
23836,The Dead Next Door,An elite anti-Zombie team is assembled by the Government to cope with an ever-growing undead infection and the religious cult zealots who fanatically protect the festering foes.
23838,Inseparabili,"Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman."
23839,La morte viene in sogno,"From the director of the highly acclaimed ""Body Chemistry,"" comes a frightening excursion into terror. Alex is caught in a web of distrust between his brother, his best friend, a beautiful ..."
23840,Death Row Diner,"A wealthy Hollywood tycoon is framed for murder and sent to the electric chair without the customary last dinner. Years layer his comes back looking for revenge, and he's hungry."
23841,Death by Dialogue,"A guy and four of his friends visit his crippled uncle, a taxidermist who lives with his housekeeper next to a movie set. Pretty soon people start being killed in the manner they are in the script of the movie being filmed next door."
23846,Demon Warrior,"A group of young friends go hunting during their holidays near a small town in Texas, where the father of one of them own a piece of land. But the place has a legend. Years ago the ..."
23847,Demonia,"A Canadian archaeological team in Sicily accidentally unleashes vengeful ghosts of five demonic nuns who were murdered 500 years earlier, and the ghosts now set out to kill the group and townspeople alike."
23848,Demonwarp,"A man and his daughter are attacked in the woods by what they believe is a Bigfoot-type creature. However, they soon begin to suspect that they may have stumbled onto a nest of aliens in a hidden spacecraft."
23850,L'occhio della morte,"A prison riot breaks out at the moment of a serial murderer's execution by electrocution, 18 months later, a team of filmmakers converge on the prison to film a women-in-prison exploitation flick."
23852,Diabel,"During the Prussian army's invasion to Poland in 1793, a young Polish nobleman, Jakub is saved from the imprisonment by a stranger who wants in return to obtain a list of his fellow ..."
23860,Doctor Hackenstein,"Dr. Hackenstein is a genial but somewhat misguided scientist. He murders the locals for their body parts, but it's not for power or scientific research; he just needs them to put his wife back together."
23868,La casa al nº13 in Horror Street,"A young woman about to be married begins having terrifying dreams about demons. When she wakes, however, the demons are real and begin to commit gruesome murders."
23869,The Dreaming,"A doctor treats a sick aborigine, who had defied a tribal taboo and visited a sacred cave. The doctor soon finds herself having disturbing dreams and finds herself involved in a 200-year-old mystery."
23876,Una strega chiamata Elvira,"Upon arriving in a small town where she has inherited a rundown mansion, a famous horror hostess battles an evil uncle, and townspeople who want her burned at the stake."
23887,Furia assassina,A group of Med students fix up an old house over a weekend. Where a mass murder occurred 10 years earlier. Mayhem ensues.
23890,I violentatori della notte,"When model Barbara Hallen disappears in France, her father's private detective traces her steps to a private plastic surgery clinic run by Dr.Flamand."
23891,Mamba,"Gene, a clever but seriously deranged computer-game designer, has been left by his wife Eva. Unable to win her back, he decides to take revenge by locking Eva in her new apartment, inside which he has released a deadly mamba snake."
23894,Fatal Pulse,"A girl is killed and raped minutes after fighting with her boyfriend (Jeff) and he left her. Jeff is the assistant of professor Caldwell at the university, and he wanted to return with his ..."
23899,The Beasts,A father seeks revenge from a gang of thugs who raped his daughter and murdered his son.
23904,Lo strano caso del Dr. Frankenstein,A mad doctor puts together a new body by using body parts he steals from a mortuary at the hospital where he works.
23906,I frati rossi,"A young woman weds a seemingly charming young man, and moves into his ancient mansion. She quickly learns to hate the old mansion and its inhabitants, while she gets frustrated with her ..."
23909,Venerdì 13: parte VII - Il sangue scorre di nuovo,"Years after Tommy Jarvis chained him underwater at Camp Crystal Lake, the dormant Jason Voorhees is accidentally released from his prison by a telekinetic teenager. Now, only she can stop him."
23922,La città maledetta,"A modern-day deputy tracks an abducted girl to a ghost town, and the spirits of the past who took her."
23935,Grotesque,"A gang of crazed punkers breaks into a family's vacation home in the mountains and slaughters the entire family, except for one daughter who gets away. As the gang pursues the girl through ..."
23939,Halloween 4 - Il ritorno di Michael Myers,"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?"
23943,Hard Rock Nightmare,A child is convinced his grandfather is a monster and kills him. Years later he returns with his friends to the sight of the killing. It appears to be his grandfather's revenge as one by one his friends are brutally murdered.
23945,Heartstopper,"A physician who was hanged during the American Revolution for being a vampire is resurrected. He confesses his crimes to a priest, but starts to kill again. His modern descendant turns out ..."
23946,Urla di mezzanotte,"Carol inherits a night club from her weird uncle. She moves into the place, only to find out just how weird her uncle really was. She begins to remember more about her very special ..."
23948,Hellbound: Hellraiser II - Prigionieri dell'inferno,"Kirsty is brought to an institution after the death of her family, where the occult-obsessive head resurrects Julia and unleashes the Cenobites once again."
23952,Doppio delitto,A group of teenagers spend the night in a furniture store for a graduation party. A psycho killer starts hunting them down one by one.
23959,Hollywood Chainsaw Hookers,"A detective embarks on a mission to track down a woman in L.A.'s seedy nightclubs, only to come face-to-face with a blood-thirsty cult of lethally beautiful prostitutes. Is he the next victim of Hollywood's demented Chainsaw Hookers?"
23961,Hollywood's New Blood,The ghosts of a family accidentally killed on a movie set come back for revenge.
23966,Il mistero di casa Usher,"An updated version of the classic horror tale by Edgar Allen Poe. Ryan and his girlfriend Molly are going to visit Ryan's uncle, Roderick Usher, at his mansion. They find, however, that ..."
23974,Iced,"A group of childhood friends are invited to the opening of a posh ski resort, unaware that an old nemesis has murderous plans in mind for them."
23986,Delitti perfetti,A serial killer in Los Angeles celebrates Jack the Ripper's 100th birthday by committing similar murders and only one has a chance of stopping him.
23995,Judgement Day,"Two travelers stop over in a small village named Santana. Unbeknownst to them, Santana is a village where, once a year, Satan comes to Earth to claim souls, and they just happened to enter the village on that day."
24000,Kadaicha,"The residents of a housing development find themselves in trouble after they discover that their development was built on top of a sacred aboriginal graveyard, on which a curse was placed upon anyone who disturbed it."
24007,Killer Klowns,Aliens who look like clowns come from outer space and terrorize a small town.
24013,Il bacio del terrore,"After the death of her mother, a teenage girl is faced with bizarre supernatural occurrences when her mother's estranged sister arrives and begins to infiltrate her and her father's lives."
24020,Muscle,"Ryuzaki, an editor of Muscle Magazine, which features photographs of men with sculpted bodies, becomes involved with a man named Kitami; their affair soon becomes dominated by ..."
24021,Kuutamosonaatti,"A female fashion model Anni Stark (played by Tiina Björkman) takes leave from the fashion business and goes to Finland's Lappland (a wilderness region in Northern Finland, better known as ..."
24023,La maledizione di Erika,"The spirit of an ancient evil queen posesses the body of a young anthropological student, who then goes on a murderous rampage."
24024,Scarlatti - Il thriller,"An author tells the story of how, as a young boy growing up in a 1960s small town, he was haunted after witnessing the murder of a little girl."
24025,La tana del serpente bianco,"When an archaeologist uncovers a strange skull in foreign land, the residents of a near-by town begin to disappear, leading to further inexplicable occurrences."
24039,Lone Wolf,"A struggling rock band and other college students cope with the usual trials and tribulations of their young lives, such as determining what exactly is behind the recent full-moon killings which have been attributed to wild dogs."
24043,Una fortuna da morire,"A plump loser, after being left at the alter by his fiancee, is invited to Christmas dinner by a beautiful woman, but her family are cannibals who intend to have *him* as the main course."
24044,Lurkers,A woman is haunted by flashbacks of her dead mother and visions of dead people floating.
24054,Poliziotto sadico,A killer dressed in a police uniform begins murdering innocent people on the streets of New York City.
24061,Al limite dell'umano,"The Hollowheads, a slightly darker and more satirical 80s take on"
24062,Memorial Valley Massacre,Campers on a holiday are terrorized by an axe-wielding maniac.
24064,Meng gui fo tiao qiang,"Building designer Bill and his family move into a seemingly wonderful house, but not aware of the house is haunted."
24065,Mang gwai hok tong,"Specially trained government troops are sent to clean out a city that is plagued by vampires, ghosts and cannibalistic zombies."
24069,Midnight Movie Massacre,A Martian begins to attack the patrons and staff of a movie theater during the 1950's as a low budget science fiction film plays on the screen.
24081,Monkey Shines - Esperimento nel terrore,"A quadriplegic man has a trained monkey help him with his paralysis, until the little monkey begins to develop feelings, and rage, against its new master."
24090,Maxie,A mute young girl finds out that a butcher is using his store as a front for murder.
24091,La brillante carriera di un giovane vampiro,"After a sexual encounter with a beautiful client, a teenage delivery boy finds himself being turned into a vampire."
24099,Necromancer,"A schoolgirl is raped by three men and is then blackmailed by her attackers to keep her quiet. Desperate for revenge, she makes contact with a necromancer, who promptly ""takes care"" of the boys using her magic powers."
24101,The Nest,"Horrifying shocker as a biological experiment goes haywire when meat-eating mutant roaches invade an island community, terrorizing a peaceful New England fishing village and hideously ..."
24105,Il nido del ragno,"Alan Whitmore, a young American researcher, goes to Budapest to visit Professor Roth, with whom he collaborated on a secret project called ""Intextus"". Arrived in the Hungarian capital, Alan..."
24108,Night Wars,"Two Vietnam Veterans have realistic nightmares about the war. So real are these nightmares that they start getting injured in them, and bringing things back that they had in the dream. They..."
24111,Nightmare Beach - La spiaggia del terrore,"After the execution of a motorcycle gang leader convicted of murder, a helmeted biker goes on a killing spree during spring break in Florida."
24112,Nightmare 4 - Il non risveglio,"Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good."
24114,Not of This Earth,An alien arrives on Earth looking to take human blood in an attempt to preserve his dying planet.
24125,Fuori nel buio,Beautiful young women who work at the offices of a phone-sex company are being stalked by a psychotic killer.
24129,Paganini Horror,"When a female rock band use an infamous old piece of sheet music to record their new album in an old mansion, they accidentally open a portal to hell."
24138,Pathos - Segreta inquietudine,A cop is assigned to catch a serial killer who is murdering his way through Rome's sexual underground.
24144,Maniac: Il virus che uccide,"A psycho who has contracted AIDS blames women for his disease, and begins to stalk and kill beautiful girls."
24147,Phantasm II,"Mike, now released from a psychiatric hospital, continues his journey to stop the evil Tall Man from his grim work."
24153,Chi c'è in fondo a quella scala...,"Isolated by his strange parents, Leon finds solace in an imaginary friend, which happens to be an anatomy doll from his father's doctor office. Unfortunately, the doll begins to take over Leon's life, and his sister's life as well."
24157,Pledge Night,"A college fraternity in the middle of hazing their new pledges during ""hell week"" incur the wrath of a long deceased pledge who died during a hazing gone wrong 20 years ago."
24162,Poltergeist III,"Carol Anne is staying with her aunt in a high-rise building, where the supernatural forces haunting her make their return."
24166,Nel nome del maligno,A coven of devil-worshiping monks living in New York City search for victims for their sacrificial ceremonies.
24168,Prison,"The spirit of a long-dead prisoner returns for revenge, haunting the prison's new governor."
24171,Psycho Cop,Six college students on their weekend vacation are humiliated and killed one by one by a psycho cop.
24172,Pulse - Scossa mortale,A visiting son tries to warn his father and stepmother that they are being menaced by a living and intelligent pulse of electricity that moves from house to house and terrorizes the residents therein.
24173,Pumpkinhead,"After a tragic accident, a man conjures up a towering, vengeful demon called Pumpkinhead to destroy a group of unsuspecting teenagers."
24180,Quella villa in fondo al parco,A maniac butchers a fashion model on a Caribbean island and leaves the body to be eaten by rats. The model's sister suspects something isn't quite right with the police investagation and ...
24185,Minaccia d'amore,"A psychic finds herself tapping into the ""energy"" of a deceased phone operator. She also finds that her friends soon begin dying mysteriously. An investigator determines to track down the cause."
24191,Rejuvenatrix,A rich actress who has gotten too old for leading roles employs a scientist who is working on a formula for eternal youth. The formula involves withdrawing certain fluids from the human ...
24196,Retribution - L'ultimo incubo,"A Manic depressive artist survives a suicidal fall only to be possessed by a murdered gangster, who uses the artist to seek vengeance on those that ended his life."
24198,Il ritorno dei pomodori assassini,Crazy old Professor Gangreen has developed a way to make tomatoes look human for a second invasion.
24199,Il ritorno dei morti viventi 2,"Curious kids unearth the barrels that previously helped revive the dead, which proves the second time's an undead charm."
24214,Saturday the 14th Strikes Back,"Eddie and his family have just inherited a spooky wreck of a house. What they do not know about the house is that it was built over an evil passage way, but they are soon to discover the ..."
24215,Scarecrows,"Criminals hijack a plane and force the pilot and his daughter to fly them to Mexico. However, an unexpected landing finds them in a cemetery inhabited by killer scarecrows."
24220,Il serpente e l'arcobaleno,An anthropologist goes to Haiti after hearing rumors about a drug used by black magic practitioners to turn people into zombies.
24222,La settima profezia,"Abby Quinn is eagerly awaiting childbirth but is haunted by dreams where she suffers a miscarriage. When she decides to rent a room to a mysterious stranger, she realizes a chain of events that will unleash the end of humanity."
24234,Chi è entrato nella mia casa?,"A man visits Alcatraz prison after having dreams about all the people who died there. When he gets there, his brother is possessed by an evil cannibal demon. The ghost of a female heavy ..."
24235,Sleepaway Camp II: Unhappy Campers,"Angela, supposedly reformed and living under an assumed surname, is working at a summer camp. However, when the campers start misbehaving, she soon reverts to her old ways."
24241,Tragica notte al bowling,"As part of a sorority ritual, pledges and their male companions steal a trophy from a bowling alley; unbeknownst to them, it contains a devilish imp who makes their lives a living Hell."
24246,Spellbinder,"A young lawyer, after falling in love with a beautiful woman, finds that she has an extremely mysterious past."
24247,Spellcaster,A group of people are killed one by one while participating at a million dollar treasure hunt in a mysterious Italian castle.
24274,College per vampiri,"Murphy is a horny high-school boy. He has a crush on the cute blonde Conny Sutton, but she just laughs into his face. So he decides to call on the services of a prostitute. Unfortunately he..."
24275,Teito monogatari,A demonic reincarnation of a Japanese general from the 10th century appears in the early 20th century Tokyo with a mission to destroy the blooming city.
24278,The Terror Within,"When a chemical warfare leaves the world barren and filled with mutated monsters, a band of survivors in a underground complex battles one of the creatures who was able to break in."
24280,Tetsuo,"A businessman accidentally kills The Metal Fetishist, who gets his revenge by slowly turning the man into a grotesque hybrid of flesh and rusty metal."
24282,Essi vivono,A drifter discovers a pair of sunglasses that allow him to wake up to the fact that aliens have taken over the Earth.
24302,Twice Dead,"The Cates family is thrilled to learn they have inherited the old mansion of the deranged stage actor, Tyler Walker. They arrive to discover that the mansion has turned into a playground ..."
24308,The Understudy: Graveyard Shift II,A film crew making a low budget vampire film is unaware that the leading man is a real vampire and has his sights set on the leading lady.
24310,Soprannaturale,A priest battles a demon that kills sinners in the act of sinning.
24312,Unmasked Part 25,Jackson is a lonely serial killer who is really beginning to question the point of all his killing. He is losing focus on why he started to kill in the first place. The future looks bleak ...
24313,La creatura,"College students check out a haunted house where in the 1800's an ugly monster called ""the Unnamable"" was trapped in a vault."
24316,Vampiro a mezzanotte,"The ""Vampire Killer"" leaves his victims drained of blood, while a detective tries to catch him."
24336,Alterazione genetica,"A boy takes in a stray dog, later discovering that it is an ultra-intelligent runaway being stalked by a dangerous creature from the same genetic research lab."
24337,Waxwork - Benvenuti al museo delle cere,A wax museum owner uses his horror exhibits to unleash evil on the world.
24343,La casa 4,"When a storm strands a group on a Massachusetts island where the only dwelling is an old hotel supposedly haunted by the ghost of a former German actress (Knef), the result is the standard ..."
24352,Centipede Horror,"A crazed evil wizard uses his powers to take revenge on beautiful women by making them vomit up live centipedes, which then proceed to eat their victims."
24368,Zombi 3,"When a terrorist's body, infected with a stolen chemical, is cremated by the US military, a virus is unintentionally released into the atmosphere over a small island."
24381,Un minuto a mezzanotte,"On Christmas Eve, a resourceful young boy has to defend himself and his grandfather from a killer dressed as Santa Claus."
24389,Ribelli lingue bagnate,"The college class, Psychology of Fear, has a new, scary teacher - you have to feel fear to understand it. One student wees himself. The scary stuff is moved to the teacher's house, where scary stories are told."
24392,Alien degli abissi,"Two members of Greenpeace discover that a local factory sheds radioactive waste into an active volcano, which has created a terrifying creature that wreaks havoc in the area."
24399,American risciò,A Miami college student finds himself framed for the murder of an evangelist's son. He hooks up with an Asian witch and a stripper to find the real killer and clear his name.
24400,An le zhan chang,A pleasent trip to the Phillipines is turned into tragedy when the tour bus is kidnapped by a group of rebels that want to exchange the prisoners for the Rebel Leader's brother. The Leader ...
24406,Aquí huele a muerto... (¡pues yo no he sido!),"The Count of Capranegra, accompanied by his chamberlain, travels to Soborlskaia to claim the castle of his great-great-grandfather who died in strange circumstances. But to get the fortune he must first pass a difficult test."
24417,Baby Blood,When a strange creature crawls into a woman's uterus she becomes a killer in order to feed the tiny terror growing within her.
24424,Il banchiere,"High-priced prostitutes are being systematically murdered, their corpses mutilated, and a bizarre South American symbol painted in blood is found at the scene. The cop investigating is out to solve the crime before his ex wife, a reporter, becomes the next victim."
24433,Beyond Dream's Door,Ben's nightmares come back to haunt him and his friends in this psychological/supernatural horror film.
24434,Il treno,"An introverted American student of Balkan descent travels to Yugoslavia as part of a school trip to witness an ancient pagan ritual, but the pagans hide a deadly secret."
24440,Il gatto nero,"A horror movie in production resurrects a witch called Levana, who is the main evil character in the movie. Levana tries to take over our world so that evil can be spread everywhere, but ..."
24443,Blades,"People are showing up sliced and diced at Tall Grass Country Club. Norman, the owner of the club, wants to avoid undue publicity on the eve of the televised pro-am tournament, and ..."
24448,Blood Nasty,"Roy is killed by a couple of jewel thieves and then brought back to life and possessed by deceased serial killer ""Blade"". He returns home and his mother is not very happy to see him as she ..."
24452,Riflessi di sangue,"A serial killer is loose at an all girl school, where he strangles girls with a piece of barbed wire."
24468,C.H.U.D. II: Bud the Chud,"A military experiment to create a race of super-warriors go awry, and legions of murderous zombies are unleased upon a surburan neighborhood."
24472,I demoni della mente,"A father who experiments with his son's psychokinetic powers is unaware that these experiments release a demon from hell, which lives in his son's closet, preparing to take over the young boys soul."
24473,The Carpenter,"A mad woman and her cheating husband hire men to fix up their new house. Mysterious carpenter, Ed, becomes her guardian angel, but he is actually an executed killer whose spirit has returned to finish the dream house he once started."
24480,The Chair,"A psychologist, a psychiatrist and a prison warden open up a long-closed prison, unaware that the ghost of an electrocuted convict haunts it."
24488,Risvegli da un coma glaciale,The bodies at a cryogenic centre are defrosted by accident and turn into cannibalistic zombies.
24499,Communion,"Oct.4 and Dec.26 the Strieber family drives from NYC to their cabin in the woods. Both nights there are some powerful lights outside and maybe aliens. The dad is mentally affected by the ""bad dream"", goes to the shrink and is hypnotized."
24508,Criminal Act,Two investigative reporters track down reports of giant rats in a city sewer system.
24511,Ora di sangue,"Two escaped brothers track down the people who sentenced them to death row, including a doctor and the judge. But when they get to the D.A. and his family they have an especially lengthy revenge plot in mind for them."
24512,Cutting Class - Il ritorno di Brian,A murderer is loose in a high school in this 'whodunit' movie.
24520,Ore 10: calma piatta,"After a tragedy, John Ingram and his wife Rae are spending some time isolated at sea, when they come across a stranger who has abandoned a sinking ship."
24527,Sangue negli abissi,Several young men have to stop an ancient native American evil in the form of a killer shark which is attacking a small beach community.
24528,Creatura degli abissi,"At the bottom of the ocean, the DeepStar Six has just discovered a new and deadly alien menace."
24541,Dr. Caligari,"Mrs. Van Houten has shown signs of losing touch with reality, and her husband discusses possible treatment with Dr. Caligari, who says Mrs. Van Houten has a disease of the libido. The staff..."
24542,Dracula's Widow,"The young owner of a waxworks in Hollywood receives five instead of six ordered chests with Romanian antiques. He does not know that Vanessa, widow of Count Dracula, sleeps in the sixth ..."
24557,Dr. Jekyll e Mr. Hyde: sull'orlo della follia,"When Henry Jekyll's experiments with cocaine have gotten out of control, he transforms into the hideous Jack Hyde. As Hyde he searches the London streets at night for his prey in ..."
24569,Evil Altar,"In the small town of Red Rock, a devil-worshipping cult, in league with the local sheriff, kidnaps victims for sacrifice."
24570,Abissi profondi,A down-on-his-luck sea captain goes treasure hunting for a wrecked Spanish galleon that is rumored to be cursed by God and protected by supernatural forces.
24571,Il bosco 1,"The story of a hideous monster who takes the form of a beautiful, seductive woman who in a torrent of special effects, beauty and monster transform into a climax of pure evil. For years ..."
24586,"Oh, mio Dio! Mia madre è cannibale",Suburban housewives turn into vicious cannibals after committing adultery with the neighborhood womanizer.
24589,La mosca 2,"The almost-human son of ""Brundlefly"" searches for a cure to his mutated genes while being monitored by a nefarious corporation that wishes to continue his father's experiments."
24590,Denti assassini,"A growth hormone experiment gets out of hand, when the the resulting giant man-eating rats escape, reaking havoc on the unsuspecting campus. Much blood-letting follows."
24595,Venerdì 13: parte VIII - Incubo a Manhattan,A boatful of graduating high school students headed to Manhattan accidentally pull Jason Voorhees along for the ride.
24596,Ammazzavampiri 2,"Charley Brewster and Peter Vincent must face more vampires, out for revenge."
24618,Quella strana casa,"After the death of their beloved father, two teens go to their grandmother's house in California and begin to suspect their grandparents of murder."
24619,Grave Secrets,A woman tormented by ghostly apparitions and a professor of psychic phenomena investigate other-worldly disturbances and unlock the secret of a malevolent force reaching out for vengeance from beyond the grave.
24624,Halloween 5 - La vendetta di Michael Myers,One year after the events of
24631,Hellgate,"A motorcycle gang kidnaps a young woman, Josie, from a diner and brutally kills her. Many years later, the girl's father finds a magic crystal that can bring the life back to dead objects. ..."
24640,La casa 7,"Detective McCarthy finally catches ""Meat Cleaver Max"", a serial killer, who promises revenge during his execution. Nonetheless, a parapsychologist tells the detective that the only hope of stopping Max for good is to destroy his spirit."
24643,Howling V: The Rebirth,A group of strangers visit an ancient Hungarian castle and bring along a werewolf.
24646,I Bought a Vampire Motorcycle,"When a motorbike gang kills an occultist, the evil spirit he was summoning inhabits a damaged bike. The bike is then bought and restored, but reveals its true nature when it tries to exact ..."
24648,Sola... in quella casa,A bookshop clerk finds that an insane and murderous doctor from one of the store's horror novels has come to life.
24670,The Jitters,"In Chinatown, merciless gang goes on nightly rampages of theft and destruction. Merchant Frank Lee has no way of fighting back - until he's undead, murdered by the gangsters...but he ..."
24677,Hoi sum gwai gau hoi sum gwai,"A group of college kids discovers the remains of an ancient evil warlord from an old cave and brings it to their dormitory, which ultimately awakens the warlord's ghost. It is seeking to ..."
24708,The Laughing Dead,"Zombies, demons, and a mad doctor await a bus-load of folks looking for a tour of Aztec ruins. Father O'Sullivan is a Catholic priest who has lost his faith in God and who cannot forget the..."
24709,Laurin,Children have been disappearing under mysterious circumstances in a 19th century German village. A young girl soon becomes haunted by disturbing visions of the missing kids.
24719,Leviathan,An American deep-sea mining colony stumbles upon a sunken Soviet vessel hiding a horrific secret.
24727,I marziani invadono la Terra,"A movie mogul in search of a tax shelter screens a space parody about a young woman, a mad scientist and a space monster."
24739,The Magic Toyshop,"After her parents are killed in a plane crash over the Grand Canyon, Melanie, a teenager girl and her younger brother and sister are sent to London to live with their uncle, Philip. There, ..."
24749,La maschera della morte rossa,"With a deadly plague ravaging his Renaissance kingdom, Prince Prospero invites his friends to retire to the protection of his castle for ongoing revels, leaving the peasantry to die. But ..."
24750,Massacre,"A red gloved killer sporting gaudy Miami Vice style mirrored shades, brutally assaults a prostitute with a blade. The killings continue and it all has something to do with the film crew that's in town making a horror movie."
24758,DNA formula letale,"Dr. Peter Houseman is a brilliant geneticist who is working on a serum which will stop human aging, but his colleagues don't believe in his work. When his university funding is threatened ..."
24760,Non aspettate mezzanotte,"The sultry midnight, late-night horror movie hostess, has the highest rated show on TV. Mr. B is scheming to steal the rights to the show. The tug of war begins and soon escalates into a ..."
24775,Una squadra alien...ata,"Two aliens steal a doomsday device from another world and abscond to earth. The device is Mr. Armageddon, a living embodiment of destruction who intends to destroy the planet. A ragtag group of high school students stand in his way."
24778,Moontrap - Destinazione Terra,"The Space Shuttle returns to earth, but some of the equipment brought back on it begins to behave strangely. Scientists are unsure what is happening, and decide to take all necessary ..."
24781,Non aver paura della zia Marta,A family of 4 makes a long drive to Aunt Martha's house to visit her for the first time in years. Only she isn't there. Just the caretaker and his message that she will appear the next day...if they survive the night.
24783,La mamma è un lupo mannaro,"The frustrated housewife Leslie visits an animal shop to purchase a flea-collar. Unknowing that the owner is a werewolf, she accepts his invitation to lunch and later in his apartment. ..."
24785,Mystics in Bali,A woman researches a book that takes her to the black magic cult of Leák in Bali. She meets an evil witch who promises to train her dark arts. But she is tricked and turned into a flying vampire with internal organs hanging from her neck.
24792,Night Life,"Archie is a ""brain"" at a small town high school who works part-time at his uncle's mortuary and is harassed by a few of the popular kids because of it. His harassers die in an automobile ..."
24793,Ombre nella notte,"Big shot TV newswoman returns home for a vacation, as several of the town's residents start dying under mysterious circumstances."
24794,Nightmare 5 - Il mito,"The pregnant Alice finds Freddy Krueger striking through the sleeping mind of her unborn child, hoping to be reborn into the real world."
24795,Nightwish,"A professor and four graduate students journey to a house in the mountains to investigate paranormal activities, but the experiment goes awry after an alien entity starts attacking them."
24804,Offerings,"Ten years after he was pushed down a well, a young man kills off the neighborhood bullies who tormented him and leaves their body parts as presents for the one girl who was kind to him."
24813,Out of the Body,"Some gravity-defying being is killing women in Sydney, Australia, and removing their eyes. The only hope of catching the fiend lies in a hapless man with a psychic link to the killer, who ..."
24818,Paint It Black - Quando il destino si tinge di nero,"A serial killer covers his victims in modeling clay, and a local sculptor is accused of the crimes."
24826,Pranzo misterioso,A young boy living in 1950s suburbia suspects his parents are cannibalistic murderers.
24830,Cimitero vivente,"After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead."
24833,Diario di un fantasma,"A guy called Eric owns a huge house and some greedy people want to build a mall over it. So they get someone to burn down his house. Eric is badly burned but not dead, and a year later the ..."
24834,Il fantasma dell'opera,"A young soprano becomes the obsession of a horribly disfigured composer, who has plans for those who oppose him or the young singer."
24847,Magic Cop,A former cop rejoins the police department to investigate a drug ring that employs ghosts and vampires.
24851,Rabid Grannies,When given a demonic present by their black sheep nephew two kindly old grannies are transformed into demons who proceed to gorily knock-off their greedy relatives.
24886,Beverly Hills Delitti Al College,"When Toni Daniels, an ambitious student reporter, goes in search of an exciting story, she discovers the dark secrets of Tambers College. Three beautiful coeds have disappeared, leaving ..."
24893,Santa Sangre - Sangue Santo,"A former circus artist escapes from a mental hospital to rejoin his armless mother - the leader of a strange religious cult - and is forced to enact brutal murders in her name as he becomes ""her arms""."
24906,The Serpent of Death,"An unscrupulous archaeologist searches for Alexander's treasure, using clues he finds by desecrating historical sites and artifacts; but he is not the only one who is trying to find the treasure."
24917,Sotto shock,"After being sent to the electric chair, a serial killer uses electricity to come back from the dead and carry out his vengeance on the football player who turned him in to the police."
24918,Terminator II,"In a polluted future Venice researchers work to improve the situation. One day, unknown forces start killing them. A team of soldiers and a couple of civilians is sent to investigate. Soon, they encounter strange murderous creatures."
24931,Skinned Alive,This is the tale of a crazed family of weirdos led by Crawldaddy who like to kill people and remove their skin.
24932,Skull: A Night of Terror!,"A gang of escaped convicts take over a farmhouse and hold the woman living there hostage. It turns out that her husband is a cop, who among other things is in trouble because he has ..."
24935,Society - The horror,An ordinary teenage boy discovers his family is part of a gruesome orgy cult for the social elite.
24944,I figli del fuoco,"A young man finds out that his parents had been used in an atomic-weapons experiment shortly before he was born, and that the results have had some unexpected effects on him."
24948,Il patrigno II,"After escaping the insane asylum in which he was incarcerated, Jerry Blake (Terry O'Quinn) impersonates a marriage counselor and manages to win over a patient (Meg Foster) and her young son (Jonathan Brandis)."
24953,Streghe,A young girl and her brother take some friends on trip to check out a house the pair has just inherited. What they don't know is that the house is haunted by demons and the ghost of a woman...
24956,Stuff Stephanie in the Incinerator,"STUFF STEPHANIE IN THE INCINERATOR is the twisted tale of a husband and wife, Jared and Stephanie, who delve into the demented fantasy games of the super wealthy."
24958,Posseduta,"Sometime during the 19th century in Switzerland: After a delirious night of drinking, three herdsmen who are all alone in the alps with their kettle, create a female doll from cloth and a ..."
24960,Tramonto,Reclusive vampires lounge in a lonely American town. They wear sun cream to protect themselves. A descendant of Van Helsing arrives with hilarious consequences.
24982,Vampiri,"L.A. real estate agent Kate Wooten gets a new lease on life when she learns that her new client, a mysterious and handsome man named Vlad, is looking for a house isolated in the Hollywood ..."
24983,Der Todesking,"Seven episodes, each taking place on a different day of the week, on the theme of suicide and violent death."
24987,The Toxic Avenger Part II,"The Toxic Avenger is tricked into traveling to Tokyo to search for his estranged father, leaving Tromaville open to complete domination by an evil corporation."
24988,Trampa infernal,"Seven young people go to a desolated forest looking for a bear, what they don't know is that a crazy Vietnam vet lives there and he is waiting for fresh blood. Soon, they are killed by ..."
25010,Stress da vampiro,"After an encounter with a neck-biter, a publishing executive thinks that he's turning into a vampire."
